R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4
-71.09260322,93172.27132,172.4488372,121154.0406,41.11545138,118696.8602,-141.2054486,1076.86991,130.8521013,356.14895,29.7536983,718.52364,-72.57656391,110598.194,100.1014564,15670.79375,94.61252071,1955.71506,-119.0090636,659.196,-167.5214001,379.0377,-173.8124767,150.33331,60.045,-0.02,1.920991483,1.461105188,0,-73.08380276,45082.95703,160.7547039,111841.9531,33.62091293,124304.4453,38.14727929,1109.607666,-55.35736158,394.4034424,-154.5529195,729.211792,-81.4114426,93401.83594,99.02801678,28723.28906,79.99969714,21176.03906,58.13690365,694.1871338,12.5161748,368.7973022,6.188049362,146.9707489,60.04700089,0,0.91151647,-1.716083788,0,-73.06930761,44906.22657,160.7318503,111550.9782,33.66700004,123811.8073,-162.2215405,1001.24548,-6.422856883,658.09734,-141.8414318,331.4291,-81.40011395,93097.05151,98.94981122,28583.5278,80.17971385,21136.76661,153.6730102,470.04337,-137.2463102,470.5927,-133.7971043,269.72103,60.047,-0.01,0.732049791,1.480999905,0,-75.18925146,46586.13566,176.1214966,115061.236,38.9267526,114484.5508,-124.0740105,1720.31845,178.1383081,662.8582,47.51538995,335.82374,-72.92606816,91166.40972,108.564043,32219.15195,111.6981222,12461.41519,-103.2871017,797.99338,-140.0366147,409.61707,-140.4491443,604.99544,60.045,-0.06,0.408069687,1.152647906,0,0,0,0,0,0,0,0,0,0,0,0,0
-69.29351574,94877.25368,174.2479247,123184.9755,42.97183463,120752.8683,-139.6985696,1100.85732,131.235983,366.03689,30.79075191,729.14402,-70.76601728,112528.8358,102.0036763,15871.37991,96.51474059,1980.78833,-117.9204438,674.39413,-165.6879352,384.34789,-172.0363076,152.89685,60.034,-0.07,1.914238734,1.464253342,0,-71.26556542,45836.03906,162.6168867,113450.1172,35.53253261,126059.5703,39.69085764,1134.6073,-54.77508795,406.162262,-153.6135909,741.8746948,-79.53277858,94771.80469,100.923162,29063.09961,81.93328955,21465.94922,59.27398671,711.0900879,14.30694624,373.723999,8.110656687,149.0707397,60.0379982,-0.100000001,0.906968811,-1.714206543,0,-71.25876098,45683.49794,162.5939631,113155.6675,35.55776077,125566.9362,-160.4224531,1025.416,-3.586715798,662.67509,-137.92813,327.95001,-79.52654196,94451.00809,100.8463015,28934.55358,82.08193373,21412.57258,156.7727119,482.31174,-135.6821355,475.53667,-132.1813633,272.10146,60.036,-0.1,0.731774849,1.483272504,0,-73.43027102,46962.23471,177.9205841,116189.5332,40.69146261,115662.9945,-122.0973061,1720.68467,-178.9461786,668.53461,51.58911987,335.27441,-71.14416942,92069.04744,110.3745897,32595.251,113.451373,12586.78154,-100.7832762,794.6974,-138.2375272,412.18061,-138.7073526,609.7563,60.032,-0.15,0.409991734,1.152048973,0,0,0,0,0,0,0,0,0,0,0,0,0
73.68810203,130280.7109,-46.30071942,130255.6377,-166.2780817,130355.9307,71.83171878,483.59351,-50.94740714,500.98896,-167.4870227,481.39619,73.70529077,130305.7842,0,0,0,0,71.10979195,488.35437,125.7928839,10.62038,-95.88448702,11.35282,60.005,0,8.185463342,0.024923832,0,66.06903456,128277.4297,-53.88519285,128126.3047,-173.9328026,128354.7578,-114.9252411,489.3493652,122.1487399,505.7544556,5.468444964,487.3352051,66.08550897,128251.625,0,0,0,0,-115.7876618,493.9785156,-59.66949565,10.79750061,72.4246212,10.8089447,60.00500107,0,7.924890529,-3.136668928,0,66.06203378,127823.5305,-53.90959894,127798.4572,-173.8926908,127848.6037,-115.1244098,487.0726,122.125954,502.08762,5.259752559,484.32595,66.09068167,127823.5305,0,0,0,0,-115.9322803,491.10102,-60.17202764,10.25416,73.53340343,10.07105,60.005,0,7.898427479,-3.131062488,0,73.74539781,130330.8575,-46.24915322,129704.0257,-166.2322451,130381.004,71.83744835,481.76241,-50.79270854,496.04499,-167.618803,477.73399,73.75685697,130130.2713,0,0,0,0,71.12125111,485.05839,124.2745458,10.25416,-95.45476867,9.70483,60.005,0,8.141327877,0.027209612,0,0,0,0,0,0,0,0,0,0,0,0,0
73.73393866,130305.7842,-46.2548828,130280.7109,-166.2322451,130381.004,71.80880046,483.59351,-50.91302968,500.98896,-167.441186,481.02997,73.75112739,130330.8575,0,0,0,0,71.13271027,488.35437,125.0079317,10.62038,-94.52084746,11.35282,60.005,0,8.190006048,0.027903536,0,66.11298,128283.9453,-53.85223378,128144.4688,-173.8833657,128382.9609,-114.919736,488.8858643,122.2146649,505.531311,5.462951784,487.6270142,66.12945441,128269.5938,0,0,0,0,-115.7656959,493.8526001,-58.65325912,10.3969574,72.17742983,10.76889038,60.00500107,0,7.931677134,-3.136359551,0,66.11932956,127823.5305,-53.86376232,127798.4572,-173.8525838,127873.677,-115.107221,487.43882,122.1832498,502.08762,5.265482137,484.32595,66.14224787,127823.5305,0,0,0,0,-115.9036324,491.10102,-60.60747557,10.25416,74.02041755,9.70483,60.007,0,7.881699104,-3.129600582,0,73.78550486,130355.9307,-46.19758702,129729.099,-166.1921381,130381.004,71.86609624,481.39619,-50.78124938,496.41121,-167.5901551,478.10021,73.79696401,130155.3446,0,0,0,0,71.14416942,485.2415,125.2772219,10.25416,-95.97043068,10.07105,60.005,0,8.162755259,0.026663485,0,0,0,0,0,0,0,0,0,0,0,0,0
-69.28205659,140535.6784,170.7586117,140510.6051,50.75260149,140585.8249,-61.73047285,320.80872,178.4477053,322.09049,60.15483891,315.49853,-69.25913828,140535.6784,0,0,0,0,-61.04865307,319.34384,-60.68196008,3.29598,-179.4675702,4.39464,59.977,0,12.78906355,-0.104962147,0,-73.73199454,141212.3438,166.3357608,141054.0781,46.2936425,141313.0781,106.4602666,316.194519,-13.4719855,316.6522827,-132.0199615,312.1948242,-73.69903888,141190.6094,0,0,0,0,106.9821204,314.9871826,0,0,-14.80133071,3.210067749,59.97700119,0,12.96867369,-3.12618158,0,-73.71674992,140711.1912,166.3124592,140686.118,46.32936731,140736.2645,95.13964188,387.82698,-24.74604717,388.01009,-143.3769587,382.15057,-73.69383161,140711.1912,0,0,0,0,95.66676305,385.99588,94.30885308,3.47909,-20.75826092,3.84531,59.977,-0.01,10.5123146,-2.926723565,0,-68.44553821,143519.3975,171.5607526,142817.3459,51.56047198,143569.544,-73.63653583,372.99507,165.1951915,376.84038,46.61011663,371.7133,-68.43980863,143293.7381,0,0,0,0,-73.95166262,373.91062,-26.34459942,3.29598,115.1415985,3.11287,59.979,0,11.19021464,0.086387096,0,0,0,0,0,0,0,0,0,0,0,0,0
70.39932429,127673.0908,-49.57230843,127648.0176,-169.5783186,127723.2374,65.68961121,605.91099,-57.00357104,626.78553,-173.5890232,602.4319,70.4222426,127673.0908,0,0,0,0,65.00779144,611.5874,118.5678861,13.18392,-100.8692198,13.91636,59.999,0.01,6.391383458,0.076290455,0,60.65826798,124631.8125,-59.29595943,124484.3594,-179.3380777,124715.0703,-119.5504813,612.7967529,117.7267525,632.5321045,0.859680212,610.1417236,60.6802407,124611.9844,0,0,0,0,-120.3414991,618.3013916,-64.05304275,12.7658844,69.39789118,12.8288269,59.99900055,0.02,6.130100104,3.135101005,0,60.66477135,124187.9063,-59.31259095,124162.833,-179.3014124,124212.9796,-119.7539088,610.12252,117.6855311,628.25041,0.658901464,606.82654,60.68768966,124187.9063,0,0,0,0,-120.4872947,614.88338,-64.81298579,12.08526,70.38786513,11.90215,59.999,0.02,6.111439531,3.140520023,0,70.45089049,127723.2374,-49.53793097,127096.4056,-169.532482,127773.3839,65.64377459,604.44611,-56.87179074,621.84156,-173.8697725,599.86836,70.46234965,127522.6512,0,0,0,0,64.95049566,608.47453,119.3012721,12.26837,-102.060972,11.71904,59.999,0.01,6.341831592,0.077897157,0,0,0,0,0,0,0,0,0,0,0,0,0
74.08344291,130581.5902,-45.89964897,130556.5169,-165.8827408,130656.81,72.15257514,482.86107,-50.43747471,499.15786,-167.2864874,481.39619,74.10636122,130581.5902,0,0,0,0,71.45929621,487.62193,127.597701,9.70483,-96.65798004,10.43727,60.003,0,8.171531808,0.025616995,0,66.50848893,128585.4063,-53.4457419,128442.6094,-173.4878568,128673.4141,-114.8153707,489.8643494,122.6486278,504.2266846,5.693664902,487.3695374,66.53046165,128566.9453,0,0,0,0,-115.5075147,493.6809692,-61.74041583,9.653091431,75.45135806,9.738922119,60.00500107,0,7.889894743,-3.126736895,0,66.50321128,128124.4097,-53.47415102,128099.3364,-173.4629725,128149.483,-114.9983591,487.80504,122.6186977,500.80585,5.471746943,484.50906,66.52612959,128124.4097,0,0,0,0,-115.6515309,490.91791,-62.38937431,9.1555,76.49559523,8.97239,60.003,0,7.857910788,-3.121717478,0,74.14646827,130631.7367,-45.84808277,129979.8317,-165.8369042,130681.8832,72.18122303,481.21308,-50.31142399,494.76322,-167.3953494,478.28332,74.15219785,130431.1505,0,0,0,0,71.48221452,484.69217,126.4747037,9.33861,-97.25385615,9.1555,60.003,0,8.135292283,0.026595462,0,0,0,0,0,0,0,0,0,0,0,0,0
166.9885494,132211.3527,47.02837582,132186.2794,-72.98909352,132261.4993,168.8162848,268.43926,48.28888297,271.18591,-70.96082293,267.15749,167.0114677,132211.3527,0,0,0,0,168.7131524,268.98859,0,0,0,0,59.999,0,14.21436059,-0.026938498,0,162.9519758,131606.0469,43.0087279,131467.9531,-77.03887844,131706.6875,-24.21112182,272.1977234,-144.8849506,274.7497559,95.90789757,272.0661011,162.9794331,131594.4531,0,0,0,0,-24.39788822,272.9988098,0,0,0,0,60,0,13.95609729,-3.018262337,0,162.9663857,131158.2754,42.98329379,131108.1288,-76.99979809,131183.3486,-24.83772042,272.8339,-145.5427391,274.665,95.0823461,272.28457,162.9835744,131133.2021,0,0,0,0,-25.09555143,273.20012,0,0,0,0,60,0,13.8066274,-3.008339199,0,167.0916818,132361.7923,47.10858992,131709.8873,-72.88596112,132411.9389,168.4266735,267.52371,47.48674206,270.45347,-71.5910765,267.52371,167.1031409,132161.2062,0,0,0,0,168.1115467,268.43926,0,0,0,0,59.999,0,14.30847217,-0.028265667,0,0,0,0,0,0,0,0,0,0,0,0,0
166.9885494,132211.3527,47.02264625,132186.2794,-72.98909352,132261.4993,168.8162848,268.43926,48.26023508,271.18591,-70.98374124,267.3406,167.0057381,132211.3527,0,0,0,0,168.6959636,268.98859,0,0,0,0,59.999,0,14.21552363,-0.027999785,0,162.9464707,131607.0313,42.99225007,131465.0156,-77.03887844,131694.6875,-24.25506725,272.489563,-144.8410052,274.6696472,95.97931403,272.4208984,162.9684502,131588.9688,0,0,0,0,-24.37042232,273.1819153,0,0,0,0,59.99900055,0,13.94080027,-3.017167807,0,162.9606561,131158.2754,42.97756421,131108.1288,-77.00552767,131208.4219,-24.79761337,272.8339,-145.5083617,274.665,95.16828977,272.10146,162.9778448,131158.2754,0,0,0,0,-25.03825565,273.20012,0,0,0,0,60,0,13.81586494,-3.008447531,0,167.0916818,132361.7923,47.10286034,131734.9606,-72.90314985,132437.0121,168.501158,267.3406,47.52684911,270.27036,-71.61399481,267.52371,167.0974114,132186.2794,0,0,0,0,168.1401946,268.43926,0,0,0,0,60,0,14.30297491,-0.030939843,0,0,0,0,0,0,0,0,0,0,0,0,0
74.5532683,131083.0556,-45.424094,131057.9823,-165.4243746,131158.2754,72.11819767,484.50906,-50.01348594,497.69298,-167.4641044,484.69217,74.57045704,131108.1288,0,0,0,0,71.5395103,488.9037,127.6664559,7.50751,-99.92383947,8.60617,60.001,0,8.079495663,0.032940807,0,67.03582735,129106.9063,-52.91290518,128974.5859,-172.9495286,129196.8125,-114.919736,491.2948608,123.0715941,502.4986267,5.413513167,489.5953979,67.06329837,129091.625,0,0,0,0,-115.4910266,494.3790283,-60.61981402,7.507324219,74.04510408,7.530212402,60.00099945,0,7.794619669,-3.114698608,0,67.04752119,128676.0216,-52.93557069,128650.9484,-172.9243921,128676.0216,-114.9868999,488.9037,123.0140386,499.15786,5.317048339,486.70638,67.0704395,128676.0216,0,0,0,0,-115.5541281,491.46724,-61.75339116,7.50751,73.36724567,7.14129,60,0,7.789806961,-3.113430094,0,74.61056408,131133.2021,-45.3725278,130506.3704,-165.3728084,131183.3486,72.1640343,482.86107,-49.88170564,493.11523,-167.6016142,481.21308,74.62775282,130932.6159,0,0,0,0,71.55669903,485.60772,126.5950248,7.3244,-101.7114678,7.14129,60.001,0,8.036022672,0.033641252,0,0,0,0,0,0,0,0,0,0,0,0,0
